date,water,muni,species,qty,size,county,year
2017-04-19,ANDROSCOGGIN R,LISBON,BROOK TROUT,300,10,Androscoggin County,2017
2017-05-23,ANDROSCOGGIN R,LISBON,BROOK TROUT,200,10,Androscoggin County,2017
2017-05-25,ANDROSCOGGIN R (LITTLE),MINOT,BROWN TROUT,1050,9,Androscoggin County,2017
2017-05-25,ANDROSCOGGIN R (LITTLE),MECHANIC FALLS,BROWN TROUT,600,9,Androscoggin County,2017
2017-05-25,ANDROSCOGGIN R (LITTLE),AUBURN,BROWN TROUT,400,9,Androscoggin County,2017
2017-06-07,ANDROSCOGGIN R (LITTLE),MINOT,RAINBOW TROUT,890,7,Androscoggin County,2017
2017-06-07,ANDROSCOGGIN R (LITTLE),MECHANIC FALLS,RAINBOW TROUT,510,7,Androscoggin County,2017
2017-06-07,ANDROSCOGGIN R (LITTLE),AUBURN,RAINBOW TROUT,340,7,Androscoggin County,2017
2017-05-10,AUBURN L,AUBURN,LAKE TROUT,1150,8,Androscoggin County,2017
2017-06-01,AUBURN L,AUBURN,L.L. SALMON,250,8,Androscoggin County,2017
2017-04-27,BARTLETT P,LIVERMORE,BROOK TROUT,250,9,Androscoggin County,2017
2017-05-12,BARTLETT P,LIVERMORE,BROOK TROUT,150,9,Androscoggin County,2017
2017-05-26,BASIN B,AUBURN,BROOK TROUT,330,10,Androscoggin County,2017
2017-04-25,BEAVER PARK P #2,LISBON,BROOK TROUT,100,10,Androscoggin County,2017
2017-04-25,BEAVER PARK P #3,LISBON,BROOK TROUT,100,10,Androscoggin County,2017
2017-11-15,BEAVER PARK P #3,LISBON,BROOK TROUT,220,7,Androscoggin County,2017
2017-04-27,BRETTUNS P,LIVERMORE,BROOK TROUT,300,9,Androscoggin County,2017
2017-09-28,BRETTUNS P,LIVERMORE,BROWN TROUT,100,11,Androscoggin County,2017
2017-10-19,BRETTUNS P,LIVERMORE,BROOK TROUT,500,7,Androscoggin County,2017
2017-10-19,BRETTUNS P,LIVERMORE,BROOK TROUT,700,13,Androscoggin County,2017
2017-11-09,BRETTUNS P,LIVERMORE,BROWN TROUT,25,18,Androscoggin County,2017
2017-11-15,BRETTUNS P,LIVERMORE,BROOK TROUT,30,19,Androscoggin County,2017
2017-04-12,CRYSTAL (BEALS) P,TURNER,BROOK TROUT,200,10,Androscoggin County,2017
2017-09-28,CRYSTAL (BEALS) P,TURNER,BROWN TROUT,50,11,Androscoggin County,2017
2017-10-04,CRYSTAL (BEALS) P,TURNER,BROWN TROUT,25,18,Androscoggin County,2017
2017-10-19,CRYSTAL (BEALS) P,TURNER,BROOK TROUT,200,13,Androscoggin County,2017
2017-11-07,CRYSTAL (BEALS) P,TURNER,BROOK TROUT,250,7,Androscoggin County,2017
2017-11-14,CRYSTAL (BEALS) P,TURNER,BROOK TROUT,165,13,Androscoggin County,2017
2017-11-15,CRYSTAL (BEALS) P,TURNER,BROOK TROUT,30,19,Androscoggin County,2017
2017-05-09,LITTLE R,LISBON,BROWN TROUT,500,8,Androscoggin County,2017
2017-05-16,LITTLE R,LISBON,BROOK TROUT,330,10,Androscoggin County,2017
2017-04-27,LONG P,LIVERMORE,BROOK TROUT,200,9,Androscoggin County,2017
2017-09-28,LONG P,LIVERMORE,BROWN TROUT,100,11,Androscoggin County,2017
2017-10-19,LONG P,LIVERMORE,BROOK TROUT,450,13,Androscoggin County,2017
